"","x"
"312","SPAC1B3.05"
"313","SPAC1B3.08"
"314","SPAC1B3.09c"
"315","SPAC1B3.13"
"316","SPAC1B3.16c"
"317","SPAC1B3.18c"
"318","SPAC1B9.03c"
"319","SPAC1D4.02c"
"320","SPAC1D4.04"
"321","SPAC1D4.08"
"322","SPAC1D4.09c"
"323","SPAC1D4.14"
"324","SPAC1F12.02c"
"325","SPAC1F12.04c"
"326","SPAC1F12.07"
"327","SPAC1F12.10c"
"328","SPAC1F3.04c"
"329","SPAC1F3.05"
"330","SPAC1F3.06c"
"331","SPAC1F3.09"
"332","SPAC1F5.02"
"333","SPAC1F5.03c"
"334","SPAC1F5.06"
"335","SPAC1F5.10"
"336","SPAC1F7.01c"
"337","SPAC1F7.02c"
"338","SPAC1F7.04"
"339","SPAC1F7.05"
"340","SPAC1F7.07c"
"341","SPAC1F7.08"
"342","SPAC1F7.10"
"343","SPAC1F7.12"
"344","SPAC1F7.13c"
"345","SPAC1F8.03c"
"346","SPAC20G4.01"
"347","SPAC20G4.06c"
"348","SPAC20G4.07c"
"349","SPAC20G4.08"
"350","SPAC20G8.01"
"351","SPAC20G8.03"
"352","SPAC20G8.04c"
"353","SPAC20G8.05c"
"354","SPAC20G8.06"
"355","SPAC20G8.07c"
"356","SPAC20G8.09c"
"357","SPAC20H4.01"
"358","SPAC20H4.03c"
"359","SPAC20H4.05c"
"360","SPAC20H4.07"
"361","SPAC20H4.10"
"362","SPAC21E11.03c"
"363","SPAC21E11.04"
"364","SPAC21E11.06"
"365","SPAC21E11.08"
"366","SPAC222.03c"
"367","SPAC222.08c"
"368","SPAC222.09"
"369","SPAC222.11"
"370","SPAC222.12c"
"371","SPAC222.13c"
"372","SPAC222.14c"
"373","SPAC222.17"
"374","SPAC227.02c"
"375","SPAC227.05"
"376","SPAC227.06"
"377","SPAC227.07c"
"378","SPAC227.08c"
"379","SPAC227.10"
"380","SPAC227.13c"
"381","SPAC227.18"
"382","SPAC22A12.01c"
"383","SPAC22A12.06c"
"384","SPAC22A12.07c"
"385","SPAC22A12.08c"
"386","SPAC22A12.09c"
"387","SPAC22A12.10"
"388","SPAC22A12.12c"
"389","SPAC22A12.14c"
"390","SPAC22A12.15c"
"391","SPAC22A12.16"
"392","SPAC22E12.03c"
"393","SPAC22E12.04"
"394","SPAC22E12.05c"
"395","SPAC22E12.06c"
"396","SPAC22E12.07"
"397","SPAC22E12.10c"
"398","SPAC22E12.13c"
"399","SPAC22E12.17c"
"400","SPAC22E12.18"
"401","SPAC22F3.06c"
"402","SPAC22F3.07c"
"403","SPAC22F3.08c"
"404","SPAC22F3.10c"
"405","SPAC22F3.13"
"406","SPAC22F3.15"
"407","SPAC22F8.04"
"408","SPAC22F8.05"
"409","SPAC22F8.08"
"410","SPAC22F8.09"
"411","SPAC22F8.10c"
"412","SPAC22F8.12c"
"413","SPAC22G7.01c"
"414","SPAC22G7.02"
"415","SPAC22G7.05"
"416","SPAC22G7.06c"
"417","SPAC22G7.10"
"418","SPAC22H10.03c"
"419","SPAC22H10.05c"
"420","SPAC22H10.08"
"421","SPAC22H10.12c"
"422","SPAC22H12.01c"
"423","SPAC22H12.02"
"424","SPAC22H12.03"
"425","SPAC22H12.04c"
"426","SPAC23A1.03"
"427","SPAC23A1.05"
"428","SPAC23A1.08c"
"429","SPAC23A1.09"
"430","SPAC23A1.10"
"431","SPAC23A1.11"
"432","SPAC23A1.12c"
"433","SPAC23A1.16c"
"434","SPAC23A1.17"
"435","SPAC23C11.03"
"436","SPAC23C11.05"
"437","SPAC23C11.06c"
"438","SPAC23C11.08"
"439","SPAC23C11.09"
"440","SPAC23C11.11"
"441","SPAC23C11.12"
"442","SPAC23C11.13c"
"443","SPAC23C11.14"
"444","SPAC23C11.15"
"445","SPAC23C11.17"
"446","SPAC23C4.02"
"447","SPAC23C4.05c"
"448","SPAC23C4.08"
"449","SPAC23C4.09c"
"450","SPAC23C4.11"
"451","SPAC23C4.12"
"452","SPAC23C4.14"
"453","SPAC23C4.15"
"454","SPAC23C4.19"
"455","SPAC23D3.02"
"456","SPAC23D3.03c"
"457","SPAC23D3.04c"
"458","SPAC23D3.06c"
"459","SPAC23D3.07"
"460","SPAC23D3.09"
"461","SPAC23D3.10c"
"462","SPAC23D3.12"
"463","SPAC23G3.01"
"464","SPAC23G3.02c"
"465","SPAC23G3.03"
"466","SPAC23G3.06"
"467","SPAC23G3.08c"
"468","SPAC23G3.10c"
"469","SPAC23G3.11"
"470","SPAC23G3.12c"
"471","SPAC23H3.02c"
"472","SPAC23H3.06"
"473","SPAC23H3.09c"
"474","SPAC23H3.10"
"475","SPAC23H3.12c"
"476","SPAC23H3.15c"
"477","SPAC23H4.01c"
"478","SPAC23H4.03c"
"479","SPAC23H4.07c"
"480","SPAC23H4.09"
"481","SPAC23H4.10c"
"482","SPAC23H4.12"
"483","SPAC23H4.15"
"484","SPAC24B11.05"
"485","SPAC24B11.06c"
"486","SPAC24B11.07c"
"487","SPAC24B11.09"
"488","SPAC24B11.11c"
