"","x"
"1939","SPCC1620.01c"
"1940","SPCC1620.06c"
"1941","SPCC1620.08"
"1942","SPCC1620.09c"
"1943","SPCC1620.11"
"1944","SPCC1620.12c"
"1945","SPCC1672.02c"
"1946","SPCC1672.03c"
"1947","SPCC1672.05c"
"1948","SPCC1672.06c"
"1949","SPCC1672.07"
"1950","SPCC1672.10"
"1951","SPCC1672.11c"
"1952","SPCC1682.01"
"1953","SPCC1682.02c"
"1954","SPCC1682.05c"
"1955","SPCC1682.09c"
"1956","SPCC1682.10"
"1957","SPCC1682.14"
"1958","SPCC1682.16"
"1959","SPCC16A11.02"
"1960","SPCC16A11.03c"
"1961","SPCC16A11.05c"
"1962","SPCC16A11.07"
"1963","SPCC16A11.10c"
"1964","SPCC16A11.16c"
"1965","SPCC16A11.17"
"1966","SPCC16C4.01"
"1967","SPCC16C4.03"
"1968","SPCC16C4.08c"
"1969","SPCC16C4.09"
"1970","SPCC16C4.10"
"1971","SPCC16C4.11"
"1972","SPCC16C4.12"
"1973","SPCC16C4.13c"
"1974","SPCC16C4.15"
"1975","SPCC16C4.18c"
"1976","SPCC1739.01"
"1977","SPCC1739.02c"
"1978","SPCC1739.04c"
"1979","SPCC1739.06c"
"1980","SPCC1739.07"
"1981","SPCC1739.08c"
"1982","SPCC1739.09c"
"1983","SPCC1739.10"
"1984","SPCC1739.12"
"1985","SPCC1739.14"
"1986","SPCC1753.01c"
"1987","SPCC1753.04"
"1988","SPCC1795.02c"
"1989","SPCC1795.04c"
"1990","SPCC1795.05c"
"1991","SPCC1795.07"
"1992","SPCC1795.10c"
"1993","SPCC1795.11"
"1994","SPCC18.03"
"1995","SPCC18.05c"
"1996","SPCC18.09c"
"1997","SPCC18.11c"
"1998","SPCC18.12c"
"1999","SPCC18.13"
"2000","SPCC18.14c"
"2001","SPCC18.15"
"2002","SPCC18.16c"
"2003","SPCC18.17c"
"2004","SPCC18.18c"
"2005","SPCC1827.01c"
"2006","SPCC1827.02c"
"2007","SPCC1827.05c"
"2008","SPCC1827.06c"
"2009","SPCC1840.01c"
"2010","SPCC1840.02c"
"2011","SPCC1840.03"
"2012","SPCC1840.04"
"2013","SPCC1840.05c"
"2014","SPCC1840.06"
"2015","SPCC1840.07c"
"2016","SPCC1840.08c"
"2017","SPCC1840.09"
"2018","SPCC1840.10"
"2019","SPCC188.02"
"2020","SPCC188.03"
"2021","SPCC188.06c"
"2022","SPCC188.07"
"2023","SPCC188.08c"
"2024","SPCC188.11"
"2025","SPCC18B5.01c"
"2026","SPCC18B5.05c"
"2027","SPCC18B5.06"
"2028","SPCC18B5.07c"
"2029","SPCC1902.01"
"2030","SPCC1902.02"
"2031","SPCC191.01"
"2032","SPCC191.02c"
"2033","SPCC191.07"
"2034","SPCC1919.02"
"2035","SPCC1919.03c"
"2036","SPCC1919.05"
"2037","SPCC1919.09"
"2038","SPCC1919.10c"
"2039","SPCC1919.15"
"2040","SPCC23B6.01c"
"2041","SPCC23B6.04c"
"2042","SPCC24B10.04"
"2043","SPCC24B10.05"
"2044","SPCC24B10.07"
"2045","SPCC24B10.09"
"2046","SPCC24B10.12"
"2047","SPCC24B10.16c"
"2048","SPCC24B10.17"
"2049","SPCC285.03"
"2050","SPCC285.04"
"2051","SPCC285.08"
"2052","SPCC285.11"
"2053","SPCC285.12"
"2054","SPCC285.13c"
"2055","SPCC285.16c"
"2056","SPCC285.17"
"2057","SPCC290.03c"
"2058","SPCC306.02c"
"2059","SPCC306.03c"
"2060","SPCC306.05c"
"2061","SPCC306.06c"
"2062","SPCC306.08c"
"2063","SPCC306.09c"
"2064","SPCC31H12.03c"
"2065","SPCC31H12.05c"
"2066","SPCC31H12.07"
"2067","SPCC31H12.08c"
"2068","SPCC320.05"
"2069","SPCC320.10"
"2070","SPCC320.11c"
"2071","SPCC330.04c"
"2072","SPCC330.05c"
"2073","SPCC330.06c"
"2074","SPCC330.08"
"2075","SPCC330.09"
"2076","SPCC330.13"
"2077","SPCC330.14c"
"2078","SPCC338.04"
"2079","SPCC338.05c"
"2080","SPCC338.06c"
"2081","SPCC338.07c"
"2082","SPCC338.10c"
"2083","SPCC338.12"
"2084","SPCC338.14"
"2085","SPCC338.15"
"2086","SPCC364.04c"
"2087","SPCC364.06"
"2088","SPCC364.07"
"2089","SPCC417.05c"
"2090","SPCC417.08"
"2091","SPCC417.16"
"2092","SPCC4B3.03c"
"2093","SPCC4B3.05c"
"2094","SPCC4B3.06c"
"2095","SPCC4B3.07"
"2096","SPCC4B3.08"
"2097","SPCC4B3.14"
"2098","SPCC4B3.16"
"2099","SPCC4B3.18"
"2100","SPCC4F11.02"
"2101","SPCC4G3.02"
"2102","SPCC4G3.04c"
"2103","SPCC4G3.06c"
"2104","SPCC4G3.11"
"2105","SPCC4G3.14"
"2106","SPCC4G3.15c"
"2107","SPCC4G3.17"
"2108","SPCC4G3.18"
"2109","SPCC548.04"
"2110","SPCC548.06c"
"2111","SPCC550.03c"
"2112","SPCC550.06c"
"2113","SPCC550.09"
"2114","SPCC550.11"
"2115","SPCC550.14"
"2116","SPCC550.15c"
"2117","SPCC553.02"
"2118","SPCC553.06"
"2119","SPCC553.08c"
"2120","SPCC553.09c"
"2121","SPCC553.11c"
"2122","SPCC569.07"
"2123","SPCC569.08c"
"2124","SPCC576.03c"
"2125","SPCC576.07"
"2126","SPCC576.08c"
"2127","SPCC576.09"
"2128","SPCC576.10c"
"2129","SPCC576.11"
"2130","SPCC576.13"
"2131","SPCC576.14"
"2132","SPCC584.01c"
"2133","SPCC584.04"
"2134","SPCC584.05"
"2135","SPCC584.11c"
"2136","SPCC594.01"
"2137","SPCC594.02c"
"2138","SPCC5E4.03c"
"2139","SPCC5E4.05c"
"2140","SPCC5E4.07"
"2141","SPCC61.03"
"2142","SPCC613.03"
"2143","SPCC613.04c"
"2144","SPCC613.05c"
"2145","SPCC613.06"
"2146","SPCC613.07"
"2147","SPCC613.08"
"2148","SPCC613.09"
"2149","SPCC613.10"
"2150","SPCC622.12c"
"2151","SPCC622.14"
"2152","SPCC622.18"
"2153","SPCC63.05"
"2154","SPCC63.06"
"2155","SPCC63.12c"
"2156","SPCC63.14"
"2157","SPCC645.07"
"2158","SPCC645.08c"
"2159","SPCC645.10"
"2160","SPCC645.14c"
"2161","SPCC663.01c"
"2162","SPCC663.02"
"2163","SPCC663.03"
"2164","SPCC663.06c"
"2165","SPCC663.08c"
"2166","SPCC663.09c"
"2167","SPCC663.13c"
"2168","SPCC663.15c"
"2169","SPCC70.02c"
"2170","SPCC70.03c"
"2171","SPCC70.05c"
"2172","SPCC70.07c"
"2173","SPCC70.08c"
"2174","SPCC736.04c"
"2175","SPCC736.08"
"2176","SPCC736.10c"
"2177","SPCC736.12c"
"2178","SPCC736.13"
"2179","SPCC736.14"
"2180","SPCC736.15"
"2181","SPCC737.02c"
"2182","SPCC737.06c"
"2183","SPCC737.07c"
"2184","SPCC737.08"
"2185","SPCC737.09c"
"2186","SPCC74.01"
"2187","SPCC74.03c"
"2188","SPCC74.05"
"2189","SPCC757.08"
"2190","SPCC757.09c"
"2191","SPCC757.12"
"2192","SPCC757.15"
"2193","SPCC777.05"
"2194","SPCC777.09c"
"2195","SPCC777.12c"
"2196","SPCC777.13"
"2197","SPCC794.03"
"2198","SPCC794.07"
"2199","SPCC794.08"
"2200","SPCC794.10"
"2201","SPCC794.11c"
"2202","SPCC794.12c"
"2203","SPCC825.01"
"2204","SPCC825.02"
"2205","SPCC825.03c"
"2206","SPCC830.03"
"2207","SPCC830.08c"
"2208","SPCC830.10"
"2209","SPCC830.11c"
"2210","SPCC895.06"
"2211","SPCC895.07"
"2212","SPCC895.09c"
"2213","SPCC962.01"
"2214","SPCC962.03c"
"2215","SPCC962.04"
"2216","SPCC962.06c"
"2217","SPCC965.03"
"2218","SPCC965.04c"
"2219","SPCC965.06"
"2220","SPCC965.07c"
"2221","SPCC965.12"
"2222","SPCC965.13"
"2223","SPCC970.03"
"2224","SPCC970.05"
"2225","SPCC970.08"
"2226","SPCC970.09"
"2227","SPCC970.10c"
"2228","SPCP1E11.02"
"2229","SPCP1E11.05c"
"2230","SPCP1E11.06"
"2231","SPCP1E11.08"
"2232","SPCP1E11.10"
"2233","SPCP1E11.11"
"2234","SPCP31B10.04"
"2235","SPCP31B10.06"
"2236","SPCP31B10.07"
"2237","SPCP31B10.08c"
"2238","SPCPB16A4.03c"
"2239","SPCPB16A4.05c"
"2240","SPCPB16A4.07"
"2241","SPCPJ732.02c"
"2242","SPMIT.08"
"2243","SPMIT.09"
"2244","SPMIT.11"
